# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-09	-0.052742172	-0.035391133	-0.94856155	0	0	0.32
2e-09	0.020821823	0.037782483	-0.9339962	0	0	0.33
3.0000000000000004e-09	-0.15990493	-0.17589352	-0.9131892	0	0	0.34
4e-09	0.021145148	-0.0051762993	0.9604103	0	0	0.35
5e-09	0.021630188	0.011933016	0.9645217	0	0	0.36
6e-09	-0.020338401	0.009744299	0.96315867	0	0	0.37
7e-09	-0.050162308	0.024356935	0.9569899	0	0	0.38
8e-09	0.0039730705	0.018256433	0.9597248	0	0	0.39
9.000000000000001e-09	0.022794714	-0.0012626457	0.9604404	0	0	0.4
1.0000000000000002e-08	-8.875225e-05	0.02987996	0.9630938	0	0	0.41
1.1000000000000003e-08	0.008577997	-0.012018858	0.9605886	0	0	0.42
