# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0	0	-1	0	0	0.3675
1.0031499622217725e-11	-0.004078894	0.014753962	-0.9744469	0	0	0.3675
2.006490222979097e-11	-0.012402669	0.010129959	-0.9692616	0	0	0.3675
3.002874065820084e-11	-0.004015582	0.0067974944	-0.9658535	0	0	0.3675
4.004257638151953e-11	-0.0068539972	0.011086176	-0.9604846	0	0	0.3675
5.000018602123032e-11	-0.023738716	0.0013095898	-0.9598595	0	0	0.3675
6.003929408690743e-11	-0.017170805	-5.2781234e-05	-0.960333	0	0	0.3675
7.004693546971654e-11	0.0038498512	0.009960905	-0.9574254	0	0	0.3675
8.00445531900444e-11	0.011506078	0.017083365	-0.959623	0	0	0.3675
9.00520104955942e-11	0.026061274	0.022730915	-0.95835894	0	0	0.3675
1.0002188049329642e-10	0.017496688	0.017210769	-0.95817333	0	0	0.3675
1.1000024637250337e-10	0.031241551	0.001229514	-0.95935607	0	0	0.3675
1.2001503470044724e-10	0.011735679	-0.0015617817	-0.9569894	0	0	0.3675
1.3003008584266668e-10	0.023192735	0.004843378	-0.9576607	0	0	0.3675
1.4002559800624267e-10	0.03841325	0.003996913	-0.95914006	0	0	0.3675
1.5003228634924888e-10	0.021733744	-0.010576537	-0.95543605	0	0	0.3675
1.6000980806136376e-10	0.028915795	-0.008160302	-0.95285183	0	0	0.3675
1.7003849713483894e-10	0.032567132	-0.019230396	-0.95222855	0	0	0.3675
1.8005105897364878e-10	0.028228687	-0.021969171	-0.95888275	0	0	0.3675
1.900040868577463e-10	0.019991182	-0.017915396	-0.9601218	0	0	0.3675
2.0000814505000374e-10	0.024743099	-0.03629769	-0.9523903	0	0	0.3675
2.1003562133305926e-10	0.018181195	-0.040766772	-0.9547387	0	0	0.3675
2.2002993285323802e-10	0.02010814	-0.031468127	-0.95532435	0	0	0.3675
2.3002226535436596e-10	0.019779861	-0.009836903	-0.95847654	0	0	0.3675
2.4005367105855815e-10	0.027796041	-0.01017107	-0.95872414	0	0	0.3675
2.5002400008955193e-10	0.03310693	-0.022051103	-0.9552315	0	0	0.3675
2.6002940488276045e-10	0.039878488	-0.022330074	-0.9509045	0	0	0.3675
2.7003679808522303e-10	0.018930014	-0.027417846	-0.9542528	0	0	0.3675
2.800463124271915e-10	0.014074259	-0.037848417	-0.9538805	0	0	0.3675
2.900181215073988e-10	-0.0018233771	-0.039563105	-0.95303637	0	0	0.3675
3.000322470869301e-10	0.005379356	-0.021495773	-0.95015365	0	0	0.3675
3.1002206502507833e-10	0.009667218	-0.019109087	-0.9512811	0	0	0.3675
3.2001466835688754e-10	-0.0077647483	-0.023059307	-0.95274377	0	0	0.3675
3.300536344085854e-10	0.0032699849	-0.0098824715	-0.95375615	0	0	0.3675
3.4001311272698204e-10	0.014345974	-0.027700542	-0.9580299	0	0	0.3675
3.500573821246176e-10	-0.008239639	-0.030876493	-0.9571098	0	0	0.3675
3.600514098450625e-10	-0.019949904	-0.011906354	-0.9577043	0	0	0.3675
3.700564614896413e-10	-0.015267256	-0.014574662	-0.95928556	0	0	0.3675
3.8001760158279424e-10	-0.018147111	0.00031564388	-0.9607766	0	0	0.3675
3.9000537070618253e-10	-0.006967344	0.007960087	-0.95771945	0	0	0.3675
4.000278288007716e-10	-0.009208186	0.008443488	-0.957962	0	0	0.3675
4.1001760369162746e-10	-0.0011030441	-0.008529961	-0.9595818	0	0	0.3675
4.2000328211721534e-10	-0.0020725832	0.012066161	-0.9579935	0	0	0.3675
4.30007808287815e-10	0.0182036	0.024556465	-0.9532077	0	0	0.3675
4.4006114003769875e-10	0.0086829625	0.025245292	-0.95627236	0	0	0.3675
4.500448992285616e-10	0.012674358	0.05138123	-0.95505613	0	0	0.3675
4.6002347294382447e-10	0.0146784065	0.04330216	-0.95467556	0	0	0.3675
4.700374270139876e-10	0.025160845	0.035783157	-0.95290333	0	0	0.3675
4.800210799120271e-10	0.031088391	0.028435346	-0.95437336	0	0	0.3675
4.900194017355057e-10	0.029832581	0.009282739	-0.95563096	0	0	0.3675
5.000553469598791e-10	0.009347686	0.026501745	-0.9547234	0	0	0.3675
5.100614988823083e-10	0.009848287	0.03259437	-0.957097	0	0	0.3675
5.200229430838048e-10	0.010889594	0.04151769	-0.9598823	0	0	0.3675
5.300414680448854e-10	0.0039856117	0.040774424	-0.9561371	0	0	0.3675
5.400194494110052e-10	0.01953554	0.05853775	-0.9572506	0	0	0.3675
5.500454051379216e-10	0.018207408	0.055551425	-0.95534635	0	0	0.3675
5.600199807287635e-10	0.023919366	0.040686145	-0.9558773	0	0	0.3675
5.700608188841828e-10	0.013474195	0.04178826	-0.9532125	0	0	0.3675
5.800148563902281e-10	0.0043473667	0.023236088	-0.95411515	0	0	0.3675
5.900562815985603e-10	0.0053029493	0.020154513	-0.956351	0	0	0.3675
6.000421130002011e-10	-0.013358544	0.024338158	-0.9559896	0	0	0.3675
6.10000467914051e-10	0.01552159	0.03470621	-0.95433885	0	0	0.3675
6.200204362801205e-10	0.016379014	0.041829016	-0.95353353	0	0	0.3675
6.300237898778527e-10	0.018346699	0.046364933	-0.95213294	0	0	0.3675
6.400021339802178e-10	0.031291418	0.05137733	-0.95087427	0	0	0.3675
6.500619747428391e-10	0.035622478	0.055553783	-0.9502241	0	0	0.3675
6.60024433377862e-10	0.03165	0.033630405	-0.95170546	0	0	0.3675
6.700431483402867e-10	0.011911227	0.022550115	-0.95188713	0	0	0.3675
6.800057650940159e-10	-0.0014990891	0.01842372	-0.9522245	0	0	0.3675
6.900613287132563e-10	-0.007790838	0.022786975	-0.9533849	0	0	0.3675
7.000574924266544e-10	-0.012828385	0.035268065	-0.9535966	0	0	0.3675
7.100104373720066e-10	0.011483985	0.04203941	-0.95415336	0	0	0.3675
7.200207914790104e-10	0.028436655	0.050515287	-0.95052606	0	0	0.3675
7.300165691826924e-10	0.03919152	0.047086325	-0.9542708	0	0	0.3675
7.400284560350418e-10	0.036374256	0.03452363	-0.9505166	0	0	0.3675
7.50059142104959e-10	0.017097313	0.040649947	-0.94843996	0	0	0.3675
7.600385507065185e-10	0.019817846	0.04447653	-0.9460659	0	0	0.3675
7.700113424600488e-10	0.02972065	0.060459465	-0.94334036	0	0	0.3675
7.800572593143954e-10	0.027449284	0.0551304	-0.94639325	0	0	0.3675
7.900297446052866e-10	0.05068603	0.073986046	-0.94477344	0	0	0.3675
8.000076857766863e-10	0.059754394	0.06980728	-0.9464588	0	0	0.3675
8.100631476913134e-10	0.080219604	0.0465229	-0.94617337	0	0	0.3675
8.200231706949833e-10	0.064729415	0.03691671	-0.9386913	0	0	0.3675
8.300191653166243e-10	0.072259136	0.024386503	-0.9355509	0	0	0.3675
8.400544546616698e-10	0.08065072	0.025204035	-0.93258023	0	0	0.3675
8.500300202687177e-10	0.08130947	0.020200444	-0.9313604	0	0	0.3675
8.600310166152263e-10	0.08327651	0.026230283	-0.9323868	0	0	0.3675
8.700000266688559e-10	0.10105047	0.037529424	-0.9300071	0	0	0.3675
8.800200354817279e-10	0.114368364	0.033114	-0.9284829	0	0	0.3675
8.900398775283916e-10	0.10315342	0.011313614	-0.9305632	0	0	0.3675
9.000307137115571e-10	0.117479764	0.0043178685	-0.93583274	0	0	0.3675
9.100238950798287e-10	0.119083084	-0.016008485	-0.94001204	0	0	0.3675
9.200430499700683e-10	0.12234249	-0.032758724	-0.9390902	0	0	0.3675
9.300616307508135e-10	0.111349225	-0.040503122	-0.9410256	0	0	0.3675
9.400546211993356e-10	0.09870433	-0.046433832	-0.9414758	0	0	0.3675
