# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0	0	-1	0	0	0.41	1.3250005e-18
1.0029542403813796e-11	-0.011854917	-0.0018355638	-0.9750849	0	0	0.41	4.93148e-18
2.005549866887893e-11	-0.018324489	-0.027250206	-0.96997505	0	0	0.41	5.242016e-18
3.006439483651214e-11	-0.009709674	-0.02722025	-0.9647864	0	0	0.41	4.6938624e-18
4.0009189375380627e-11	-0.011348002	-0.0020034395	-0.9646462	0	0	0.41	4.9232835e-18
5.001779822073452e-11	0.0028676859	-0.0073248413	-0.9625076	0	0	0.41	5.1836456e-18
6.001849913354373e-11	0.016356045	0.004577618	-0.9628691	0	0	0.41	5.8368114e-18
7.004764121953223e-11	0.028200084	-0.00062693516	-0.96491534	0	0	0.41	4.5304045e-18
8.005420342312942e-11	0.02805764	0.012750098	-0.9616131	0	0	0.41	4.908917e-18
9.000037082118594e-11	0.03206767	0.0072559463	-0.96094406	0	0	0.41	4.247987e-18
1.0002664626909927e-10	0.011663972	0.029699162	-0.9581937	0	0	0.41	4.5534746e-18
1.1002341232791687e-10	0.005033014	0.035021182	-0.9559723	0	0	0.41	5.31056e-18
1.200552270262096e-10	0.018493518	0.035403486	-0.9525408	0	0	0.41	4.344445e-18
1.3003680036966206e-10	0.011190899	0.05118634	-0.94878924	0	0	0.41	5.1252884e-18
1.4002238267726306e-10	0.019017164	0.069221616	-0.9481039	0	0	0.41	5.5964844e-18
1.5003383973090359e-10	0.026077796	0.07414343	-0.9453104	0	0	0.41	4.5436423e-18
1.6000413209240403e-10	0.02417081	0.08683927	-0.94633687	0	0	0.41	5.3556574e-18
1.7000363634377291e-10	0.019665394	0.077651866	-0.95100725	0	0	0.41	4.739986e-18
1.800536868815721e-10	0.028321745	0.06853137	-0.95353216	0	0	0.41	4.790984e-18
1.9001354196629892e-10	0.029799247	0.07160042	-0.9470923	0	0	0.41	5.6009533e-18
2.0004096064167825e-10	0.018534344	0.0787886	-0.95301044	0	0	0.41	4.6239165e-18
2.10006597512776e-10	0.030525822	0.062093765	-0.9531813	0	0	0.41	5.319882e-18
2.2003179968287782e-10	0.024085602	0.067361824	-0.9502685	0	0	0.41	4.1691532e-18
2.3005414574192678e-10	0.025870515	0.083380796	-0.9457692	0	0	0.41	4.6633937e-18
2.400428646851206e-10	0.025987633	0.086064346	-0.94031864	0	0	0.41	5.510824e-18
2.500638068328165e-10	0.03393373	0.08350317	-0.9401207	0	0	0.41	4.7710247e-18
2.6000160875810077e-10	0.029536434	0.07285233	-0.9410895	0	0	0.41	5.1210595e-18
2.7000980500720473e-10	0.037910584	0.08633303	-0.9370825	0	0	0.41	4.7124475e-18
2.8002740165028985e-10	0.02530547	0.0821321	-0.9339807	0	0	0.41	4.3763293e-18
