# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0	0	-1	0	0	0.35
1.0054875950198595e-11	0.005792128	0.0067754164	-0.9739628	0	0	0.35
2.000288392995489e-11	0.020694304	6.2908744e-05	-0.96910167	0	0	0.35
3.002742250003216e-11	0.033411007	-0.018676277	-0.9652294	0	0	0.35
4.0021818389541404e-11	0.033882335	-0.028334495	-0.9640656	0	0	0.35
5.001653092570137e-11	0.011803672	-0.031583596	-0.9628933	0	0	0.35
6.000133655265543e-11	-0.008163249	-0.021659333	-0.960434	0	0	0.35
7.001173150606439e-11	-0.007419753	-0.023168502	-0.9615221	0	0	0.35
8.004491670209706e-11	0.015005625	-0.011064164	-0.9579638	0	0	0.35
9.003925304012828e-11	0.023438703	-0.01119115	-0.9571532	0	0	0.35
1.0004360973775751e-10	0.020177187	-0.013412129	-0.96267396	0	0	0.35
1.100613187366075e-10	0.025454083	-0.014264025	-0.96197695	0	0	0.35
1.2006301528686865e-10	0.023858223	-0.02523243	-0.9605335	0	0	0.35
1.3002615057708566e-10	0.03977541	-0.027691389	-0.9587045	0	0	0.35
1.4004509738470333e-10	0.032809287	-0.027282668	-0.95728695	0	0	0.35
1.5003814814224391e-10	0.02964303	-0.042589016	-0.95924246	0	0	0.35
1.6001267247286877e-10	0.008844128	-0.041173846	-0.96048945	0	0	0.35
1.7003298854046327e-10	0.0069999043	-0.041969646	-0.961545	0	0	0.35
1.800423955177542e-10	0.002548444	-0.04283927	-0.9584658	0	0	0.35
1.900411431900735e-10	-0.0006429544	-0.040245056	-0.95615774	0	0	0.35
2.00011381947525e-10	0.0016571109	-0.02808282	-0.9595771	0	0	0.35
2.1002007667299395e-10	0.0072986153	-0.022363234	-0.95567805	0	0	0.35
2.2005661151778883e-10	-0.004194477	-0.0178155	-0.9570085	0	0	0.35
2.3005700232861228e-10	-0.0011694394	-0.03371325	-0.95497584	0	0	0.35
2.400229649003074e-10	0.0150248585	-0.04474271	-0.95663214	0	0	0.35
2.5002748247117495e-10	0.0010275114	-0.063138135	-0.9557032	0	0	0.35
2.6000791566530455e-10	-0.018933522	-0.060540687	-0.95668405	0	0	0.35
2.700162068339905e-10	-0.041053295	-0.055329338	-0.9549507	0	0	0.35
2.8000119702106286e-10	-0.04776823	-0.049867805	-0.95435625	0	0	0.35
2.9004795195706354e-10	-0.041220095	-0.043908384	-0.9530306	0	0	0.35
3.00032285003398e-10	-0.039020777	-0.030899812	-0.95050716	0	0	0.35
3.1004392991616476e-10	-0.032493148	-0.027902806	-0.9504864	0	0	0.35
3.2005031318637115e-10	-0.04074621	-0.031999424	-0.95024574	0	0	0.35
3.300398005077152e-10	-0.031521685	-0.03577041	-0.9489483	0	0	0.35
3.4000889779650294e-10	-0.018342845	-0.045215975	-0.9527788	0	0	0.35
3.5000423024814866e-10	-0.030776473	-0.04872151	-0.95648086	0	0	0.35
3.600004015799604e-10	-0.042164993	-0.051823895	-0.9513078	0	0	0.35
3.7002084026663655e-10	-0.046261474	-0.034344777	-0.9526161	0	0	0.35
3.8001356555430363e-10	-0.057005145	-0.0315282	-0.95169735	0	0	0.35
3.900557592714927e-10	-0.04222318	-0.025524905	-0.952958	0	0	0.35
4.0005614547117345e-10	-0.041711375	-0.006244784	-0.9512037	0	0	0.35
4.1006277731221293e-10	-0.032235116	-0.0051731947	-0.9552779	0	0	0.35
4.200042829279018e-10	-0.020604406	-0.013255378	-0.9560112	0	0	0.35
4.300139286164156e-10	-0.015345147	-0.02067058	-0.9558729	0	0	0.35
4.400241767299536e-10	-0.011942824	-0.030302906	-0.9571672	0	0	0.35
4.50022394211612e-10	-0.014316876	-0.032850023	-0.9554632	0	0	0.35
4.600172042545834e-10	-0.025498044	-0.05569561	-0.9576463	0	0	0.35
4.70053227199381e-10	-0.035028346	-0.060261607	-0.9584955	0	0	0.35
4.800638652815441e-10	-0.046150163	-0.05408979	-0.9577903	0	0	0.35
4.900008005220231e-10	-0.061706346	-0.03645912	-0.95584667	0	0	0.35
5.000565482915278e-10	-0.05095342	-0.03310175	-0.95122504	0	0	0.35
5.100234162989094e-10	-0.062191483	-0.018964663	-0.95001054	0	0	0.35
5.20028258032748e-10	-0.04498121	-0.016993517	-0.9513177	0	0	0.35
5.300470408729173e-10	-0.04299149	-0.02208661	-0.9493295	0	0	0.35
5.400137399062877e-10	-0.06823294	-0.012879241	-0.94947267	0	0	0.35
5.500343819404133e-10	-0.0677033	0.0068581617	-0.95411515	0	0	0.35
5.600298253744291e-10	-0.06394668	0.041846383	-0.95331514	0	0	0.35
5.700633052998912e-10	-0.07521933	0.05891973	-0.9495653	0	0	0.35
5.800633150949381e-10	-0.08146761	0.06786017	-0.9511455	0	0	0.35
5.9003431004487e-10	-0.07154181	0.0844018	-0.94960946	0	0	0.35
6.000289802217555e-10	-0.055606812	0.09188274	-0.9518647	0	0	0.35
6.100146914726777e-10	-0.04494401	0.09184694	-0.95188475	0	0	0.35
6.200137227686981e-10	-0.033348754	0.108550526	-0.94929945	0	0	0.35
6.300100047683295e-10	-0.03042966	0.087380394	-0.9506787	0	0	0.35
6.40008144173058e-10	-0.022127576	0.10004126	-0.94507986	0	0	0.35
6.500632692556292e-10	-0.0112499185	0.09692703	-0.9455353	0	0	0.35
6.600270098904298e-10	-0.006108992	0.08955386	-0.94583505	0	0	0.35
6.70024960423853e-10	0.002795983	0.08421171	-0.94288903	0	0	0.35
6.800135379048221e-10	0.0064479075	0.08596502	-0.94114363	0	0	0.35
6.900188210988138e-10	0.012744352	0.073016874	-0.94393027	0	0	0.35
7.000069953933329e-10	0.010248385	0.07856173	-0.9407738	0	0	0.35
7.100445562182127e-10	0.031371187	0.08341327	-0.94467217	0	0	0.35
7.200530884949033e-10	0.03287319	0.083422154	-0.94494724	0	0	0.35
7.300384013799117e-10	0.044802696	0.07001119	-0.948619	0	0	0.35
7.400647688294303e-10	0.06268383	0.049884923	-0.9474844	0	0	0.35
7.500281068985204e-10	0.07221569	0.041481428	-0.94038844	0	0	0.35
7.600181137309731e-10	0.05789908	0.0451453	-0.93067837	0	0	0.35
7.70020014018817e-10	0.050915882	0.055257723	-0.92991406	0	0	0.35
7.80037571948559e-10	0.04624239	0.05892853	-0.93155575	0	0	0.35
7.900520422162948e-10	0.044417795	0.07508096	-0.9324473	0	0	0.35
8.000141186949328e-10	0.0501046	0.08135811	-0.9326503	0	0	0.35
8.100478467322548e-10	0.069353074	0.093839884	-0.931564	0	0	0.35
8.200340744199851e-10	0.096113965	0.104981184	-0.9351425	0	0	0.35
8.30003180370667e-10	0.12640034	0.0945841	-0.9332481	0	0	0.35
8.400288110156197e-10	0.13691951	0.084409885	-0.9352206	0	0	0.35
8.5005547080704e-10	0.12188466	0.06674225	-0.93758965	0	0	0.35
8.60023971412437e-10	0.110389926	0.06526324	-0.9383989	0	0	0.35
8.700336125689818e-10	0.10764634	0.050934616	-0.9356366	0	0	0.35
8.800556102015354e-10	0.08992874	0.031172253	-0.93687266	0	0	0.35
8.900348728091892e-10	0.07753564	0.03485491	-0.93283737	0	0	0.35
9.000255485951485e-10	0.07642037	0.04694584	-0.9326012	0	0	0.35
9.100044589287617e-10	0.085959956	0.046041563	-0.9337306	0	0	0.35
9.200013875055898e-10	0.09167671	0.050264828	-0.9322368	0	0	0.35
9.300185241267495e-10	0.100548334	0.053471398	-0.9330973	0	0	0.35
9.400205023929278e-10	0.11136104	0.061671015	-0.9349582	0	0	0.35
9.500379855630457e-10	0.10219993	0.0328102	-0.93889093	0	0	0.35
9.600533972043736e-10	0.10872646	0.025004368	-0.9415002	0	0	0.35
9.700614253760395e-10	0.11760031	0.005701799	-0.9410921	0	0	0.35
9.800056959246981e-10	0.11022658	-0.017672878	-0.9409675	0	0	0.35
9.900008209534061e-10	0.095140316	-0.029910492	-0.93779707	0	0	0.35
1.000029431728799e-09	0.085271634	-0.03929336	-0.93576974	0	0	0.35
1.0100334889757599e-09	0.084768176	-0.048353426	-0.93504274	0	0	0.35
1.0200003559442463e-09	0.07666566	-0.051084466	-0.93643105	0	0	0.35
1.0300178736636768e-09	0.07401537	-0.049534805	-0.9414463	0	0	0.35
1.0400198094628662e-09	0.08526372	-0.047135863	-0.9394902	0	0	0.35
1.0500261206268164e-09	0.104845345	-0.05843724	-0.93730235	0	0	0.35
1.060012609938409e-09	0.08196273	-0.072779745	-0.9420248	0	0	0.35
1.0700302927255691e-09	0.0771064	-0.10359099	-0.9424708	0	0	0.35
1.080014719277999e-09	0.056996416	-0.114652306	-0.9464017	0	0	0.35
1.0900437082421445e-09	0.037437096	-0.13227956	-0.9426439	0	0	0.35
1.1000492527708773e-09	0.011648554	-0.13380519	-0.93864846	0	0	0.35
1.1100199834093721e-09	-0.010926889	-0.12444377	-0.93677247	0	0	0.35
1.1200478638514018e-09	-0.019216683	-0.10621886	-0.9379344	0	0	0.35
1.1300473704407439e-09	-0.023900367	-0.09408099	-0.93647313	0	0	0.35
1.1400202299614587e-09	-0.017712645	-0.09160163	-0.93562675	0	0	0.35
1.1500279934692329e-09	-0.0006669611	-0.08782746	-0.93953854	0	0	0.35
1.1600091860344712e-09	0.0164125	-0.111260585	-0.9344606	0	0	0.35
1.170004909188473e-09	0.025469415	-0.121922135	-0.9380846	0	0	0.35
1.1800063855893787e-09	0.01250446	-0.14399499	-0.93921316	0	0	0.35
1.1900061069287327e-09	-0.030327491	-0.16333371	-0.9401518	0	0	0.35
1.2000119039064434e-09	-0.06713623	-0.15251414	-0.9382839	0	0	0.35
1.2100570349281953e-09	-0.08670589	-0.14353013	-0.93544376	0	0	0.35
1.2200092573954763e-09	-0.091760404	-0.115773395	-0.9353763	0	0	0.35
1.230049077924348e-09	-0.10233988	-0.10158589	-0.934005	0	0	0.35
1.2400140182022105e-09	-0.089424	-0.091634296	-0.93392146	0	0	0.35
1.2500052274840292e-09	-0.0840409	-0.083184995	-0.93220556	0	0	0.35
1.2600247891886944e-09	-0.07025242	-0.08269234	-0.9312097	0	0	0.35
1.2700161182279643e-09	-0.061967388	-0.09394933	-0.93124497	0	0	0.35
1.2800596304578571e-09	-0.07423999	-0.08176409	-0.9314219	0	0	0.35
1.2900422887801767e-09	-0.085290834	-0.09846082	-0.9313667	0	0	0.35
1.300048602418528e-09	-0.10520624	-0.10196934	-0.93010443	0	0	0.35
1.3100420556559411e-09	-0.13854307	-0.10580165	-0.9293155	0	0	0.35
1.320022932995894e-09	-0.15487954	-0.09057309	-0.92993796	0	0	0.35
1.3300172141656612e-09	-0.1682279	-0.061486844	-0.92910737	0	0	0.35
1.340002860824297e-09	-0.14769073	-0.051143467	-0.9385356	0	0	0.35
1.3500163390196083e-09	-0.1368279	-0.037244976	-0.9387583	0	0	0.35
1.3600284038051032e-09	-0.13764234	-0.029178452	-0.94026357	0	0	0.35
1.3700121158938968e-09	-0.13985905	-0.022114998	-0.9416684	0	0	0.35
1.3800301572191384e-09	-0.1285257	0.0006125404	-0.9455971	0	0	0.35
1.3900296838941213e-09	-0.12055187	0.013451244	-0.9494959	0	0	0.35
1.4000107527362517e-09	-0.122838095	0.0187815	-0.94684124	0	0	0.35
1.4100234578927036e-09	-0.12048605	0.02383126	-0.94854933	0	0	0.35
1.4200112262061386e-09	-0.125834	0.026943028	-0.9480766	0	0	0.35
1.4300589508760825e-09	-0.12933262	0.041061603	-0.945205	0	0	0.35
1.4400042537194181e-09	-0.13414267	0.053784356	-0.9452052	0	0	0.35
1.4500592784412347e-09	-0.11341512	0.0664787	-0.94714606	0	0	0.35
1.4600582111268612e-09	-0.10490955	0.079467975	-0.9464042	0	0	0.35
1.4700047907425951e-09	-0.07947804	0.08108987	-0.9477259	0	0	0.35
1.4800627730619876e-09	-0.063067496	0.097004876	-0.94829774	0	0	0.35
1.4900134504579927e-09	-0.055882797	0.101022735	-0.9450704	0	0	0.35
1.5000616571919545e-09	-0.025631357	0.104210615	-0.94855714	0	0	0.35
1.5100340872174534e-09	-0.0037818574	0.099453926	-0.9474133	0	0	0.35
1.5200562021249075e-09	-0.005524422	0.09481497	-0.944426	0	0	0.35
1.5300142812692305e-09	-0.011354382	0.094381504	-0.94543123	0	0	0.35
1.5400103555910842e-09	-0.008343987	0.11574385	-0.9447241	0	0	0.35
1.5500634347068975e-09	-0.013633529	0.13200928	-0.9442206	0	0	0.35
1.56003402436338e-09	0.005537772	0.13691652	-0.9468932	0	0	0.35
1.570046045310456e-09	0.023349889	0.13044184	-0.9460256	0	0	0.35
1.5800214302409654e-09	0.031383026	0.14066482	-0.94393027	0	0	0.35
1.5900594636765242e-09	0.03904795	0.1325094	-0.9456643	0	0	0.35
1.6000320179072597e-09	0.06023718	0.11246047	-0.94342375	0	0	0.35
1.6100486846207086e-09	0.061550457	0.10251881	-0.9424702	0	0	0.35
1.620035612258514e-09	0.057397313	0.09346683	-0.9430074	0	0	0.35
1.6300383023965935e-09	0.06658041	0.09824602	-0.9398501	0	0	0.35
1.6400507780749306e-09	0.06268322	0.097777314	-0.94446903	0	0	0.35
1.6500556677172817e-09	0.06677284	0.11628843	-0.94121385	0	0	0.35
1.6600307653195607e-09	0.051447593	0.11706961	-0.94496334	0	0	0.35
1.6700350874323474e-09	0.076367766	0.09807508	-0.94959766	0	0	0.35
1.680028061565524e-09	0.079479694	0.09937531	-0.9469695	0	0	0.35
1.6900334636832375e-09	0.07596254	0.10045043	-0.9446403	0	0	0.35
1.7000610413179722e-09	0.10837761	0.08954124	-0.9403773	0	0	0.35
1.7100214316001135e-09	0.11660836	0.08254968	-0.9427811	0	0	0.35
1.7200253620320158e-09	0.14591075	0.056669306	-0.941267	0	0	0.35
1.730064714845048e-09	0.13611457	0.05080041	-0.93981516	0	0	0.35
1.740052534721412e-09	0.121671	0.045392685	-0.94113576	0	0	0.35
1.7500232316861415e-09	0.10361747	0.04736088	-0.94768775	0	0	0.35
1.7600052122722992e-09	0.09952603	0.053352095	-0.94595575	0	0	0.35
1.7700030721098328e-09	0.10055342	0.047194727	-0.94615805	0	0	0.35
1.780035149290751e-09	0.1137716	0.03510896	-0.94630504	0	0	0.35
1.7900567485477402e-09	0.1173341	0.009315442	-0.944963	0	0	0.35
1.8000287607000275e-09	0.10127957	-0.0070636496	-0.9473369	0	0	0.35
1.8100146632771634e-09	0.093564615	-0.020467272	-0.9455235	0	0	0.35
1.8200211766220299e-09	0.088286266	-0.01919081	-0.9480461	0	0	0.35
1.83000474262943e-09	0.08390871	-0.029504655	-0.9532612	0	0	0.35
1.8400039601342044e-09	0.06902885	-0.036715005	-0.95071805	0	0	0.35
1.8500529879937689e-09	0.07211349	-0.03862316	-0.9474042	0	0	0.35
