# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0	0	-1	0	0	0.3685
1.0026573152962753e-11	0.0097485455	0.00032632632	-0.97479534	0	0	0.3685
2.006462979205013e-11	0.018966135	-0.0044767573	-0.96712023	0	0	0.3685
3.0032160970329043e-11	0.030594427	-0.02922259	-0.96434486	0	0	0.3685
4.0025696404301856e-11	0.022633877	-0.031892005	-0.9631152	0	0	0.3685
5.00615376972608e-11	0.0030607637	-0.022437947	-0.96215653	0	0	0.3685
6.002731150926712e-11	-0.010911315	-0.015892815	-0.9582179	0	0	0.3685
7.006713182802665e-11	-0.0077430895	-0.026679635	-0.95760334	0	0	0.3685
8.004307080907186e-11	0.016471734	-0.016298097	-0.9550022	0	0	0.3685
9.002493402532942e-11	0.026048139	-0.025015678	-0.95499665	0	0	0.3685
1.0003683638403445e-10	0.023478786	-0.030076582	-0.9547732	0	0	0.3685
1.1005858249658431e-10	0.022068875	-0.027053993	-0.9556384	0	0	0.3685
1.2001193139254806e-10	0.014833171	-0.033330474	-0.9550654	0	0	0.3685
1.3005802065662735e-10	0.0341394	-0.034804285	-0.9573134	0	0	0.3685
1.4000485596612878e-10	0.01919932	-0.038887464	-0.9605842	0	0	0.3685
1.5005726071800222e-10	0.019538665	-0.053188246	-0.96133876	0	0	0.3685
1.6001533968240497e-10	0.011054206	-0.040508065	-0.96223974	0	0	0.3685
1.7001559430679315e-10	0.006399406	-0.05041246	-0.9597314	0	0	0.3685
1.8001984574465738e-10	-0.004728893	-0.053025566	-0.95700914	0	0	0.3685
1.9000994642985211e-10	-0.0057507735	-0.044797733	-0.95648676	0	0	0.3685
2.0005423826121423e-10	-0.007939949	-0.041727085	-0.95787865	0	0	0.3685
2.1001336204135652e-10	-0.0018868934	-0.01816884	-0.9536397	0	0	0.3685
2.2003271506545693e-10	0.0012850767	-0.025879923	-0.95424706	0	0	0.3685
2.3003627141361157e-10	-0.0066342214	-0.04609171	-0.9549368	0	0	0.3685
2.400092266422646e-10	0.0033925972	-0.055563554	-0.95709604	0	0	0.3685
2.500315340290442e-10	-0.01149225	-0.06762912	-0.9554607	0	0	0.3685
2.6002114324462015e-10	-0.02312222	-0.06104431	-0.95736575	0	0	0.3685
2.7002329521280065e-10	-0.03795497	-0.049962237	-0.9552913	0	0	0.3685
2.8000791489200797e-10	-0.040970046	-0.049284093	-0.9500674	0	0	0.3685
2.900491837672137e-10	-0.020947928	-0.04051706	-0.95123756	0	0	0.3685
3.000364498973872e-10	-0.01389165	-0.03269375	-0.9508051	0	0	0.3685
3.1006288028273904e-10	-0.002680459	-0.042209174	-0.95189345	0	0	0.3685
3.200518431255408e-10	-0.024226565	-0.05623466	-0.94921786	0	0	0.3685
3.3001083245076706e-10	-0.03403441	-0.058503494	-0.9500223	0	0	0.3685
3.4003429691219396e-10	-0.039043292	-0.059007004	-0.9509208	0	0	0.3685
3.5003240620668497e-10	-0.038226865	-0.05249284	-0.9523685	0	0	0.3685
3.600269395988929e-10	-0.04117241	-0.041529622	-0.95325917	0	0	0.3685
3.7006312327179163e-10	-0.021755219	-0.023438374	-0.9554168	0	0	0.3685
3.8000866812518654e-10	-0.022963569	-0.015262778	-0.9540103	0	0	0.3685
3.900515697513943e-10	-0.0099557405	-0.01363623	-0.95662117	0	0	0.3685
4.0002289052396436e-10	0.006692761	-0.009675418	-0.95436406	0	0	0.3685
4.100273210001493e-10	-0.0153934285	-0.022896228	-0.95471823	0	0	0.3685
4.2005512440464993e-10	-0.015093343	-0.028664608	-0.95425665	0	0	0.3685
4.300303305117614e-10	-0.029349238	-0.031774856	-0.9550641	0	0	0.3685
4.40065632019625e-10	-0.021550937	-0.034905992	-0.95331496	0	0	0.3685
4.500267073244701e-10	-0.01745629	-0.025887443	-0.9563477	0	0	0.3685
4.600132653623835e-10	0.001957693	-0.044147953	-0.9523025	0	0	0.3685
4.700123792798468e-10	-0.0023219585	-0.06848209	-0.9521098	0	0	0.3685
4.800199422205692e-10	-0.017637722	-0.0657287	-0.95024836	0	0	0.3685
4.900369254516003e-10	-0.037362985	-0.05939293	-0.9535735	0	0	0.3685
5.000209921469103e-10	-0.034635697	-0.06745942	-0.9515597	0	0	0.3685
5.100005611774967e-10	-0.054010052	-0.04827652	-0.9528111	0	0	0.3685
5.200167150689543e-10	-0.050011855	-0.049053427	-0.94803864	0	0	0.3685
5.300482802260353e-10	-0.05766137	-0.052966293	-0.9480893	0	0	0.3685
5.400110944975374e-10	-0.077366926	-0.04108353	-0.9435687	0	0	0.3685
5.500314031178271e-10	-0.07718265	-0.024416942	-0.9467309	0	0	0.3685
5.600653804136512e-10	-0.079139136	0.009265441	-0.94561195	0	0	0.3685
5.700222552493602e-10	-0.08267478	0.034848034	-0.94594103	0	0	0.3685
5.800333938022875e-10	-0.08994397	0.0413526	-0.9472684	0	0	0.3685
5.900073533523342e-10	-0.077100925	0.062486537	-0.95106596	0	0	0.3685
6.000637245205557e-10	-0.060078476	0.0651478	-0.9491541	0	0	0.3685
6.100142091251324e-10	-0.061164707	0.06435066	-0.9513837	0	0	0.3685
6.200069001182828e-10	-0.05621055	0.07307393	-0.9442593	0	0	0.3685
6.300177469275149e-10	-0.07276018	0.059153233	-0.94366515	0	0	0.3685
6.400387557967796e-10	-0.06598819	0.07859308	-0.9419236	0	0	0.3685
6.500021889674005e-10	-0.05008905	0.08003905	-0.93930084	0	0	0.3685
6.600185452031746e-10	-0.047529306	0.08004022	-0.9379324	0	0	0.3685
6.700138755541161e-10	-0.028081285	0.06912368	-0.9368842	0	0	0.3685
6.80053435294325e-10	-0.0209988	0.06781682	-0.9301639	0	0	0.3685
6.900659373336966e-10	-0.033052064	0.06545056	-0.93005824	0	0	0.3685
7.000430565503733e-10	-0.022847762	0.085050255	-0.9309633	0	0	0.3685
7.100252194972064e-10	-0.011111198	0.09141659	-0.9357847	0	0	0.3685
7.200204292036528e-10	-0.022019656	0.09655027	-0.9372129	0	0	0.3685
7.300107560442111e-10	-0.016128348	0.08628015	-0.94261014	0	0	0.3685
7.40036841166449e-10	-0.0023753585	0.06564903	-0.94518244	0	0	0.3685
7.500052046965338e-10	0.007529902	0.057166047	-0.9429937	0	0	0.3685
7.600192059405539e-10	0.00063719536	0.050298765	-0.9368357	0	0	0.3685
7.700463010051932e-10	-0.0030775915	0.06449767	-0.9302328	0	0	0.3685
7.800608388023152e-10	-0.0074698725	0.086706676	-0.9275573	0	0	0.3685
7.900299659540944e-10	-0.0088844765	0.09890267	-0.92794216	0	0	0.3685
